ano,banco,banco_name,brand_companies_cnpjnumber,brand_companies_name,brand_companies_urlcomplementarylist,businessaccount_additionalinfo,businessaccount_incomerate_prepaidpaymentaccount,businessaccount_incomerate_savingaccount,businessaccount_openingclosingchannels,businessaccount_transactionmethods,mes,price_currency,price_customers_rate,price_interval,price_value,service_chargingtriggerinfo,service_code,service_maximum_currency,service_maximum_value,service_minimum_currency,service_minimum_value,service_name,termsconditions_closingprocessinfo,termsconditions_elegibilitycriteriainfo,termsconditions_minimumbalance_currency,termsconditions_minimumbalance_value
2021,banco-bradesco,Banco Bradesco,60746948000112,Banco Bradesco S.A.,https://banco.bradesco/html/classic/index.shtm,PARCEIROS DO BANCO,NA,NA,"[DEPENDENCIAS_PROPRIAS, MOBILE_BANKING]","[MOVIMENTACAO_CHEQUE, MOVIMENTACAO_ELETRONICA, MOVIMENTACAO_CARTAO, MOVIMENTACAO_PRESENCIAL]",2,BRL,0.000000,2_FAIXA_VALOR,0.000000,CONTRATO,FORNECIMENTO_2_VIA_CARTAO_FUNCAO_DEBITO,BRL,8.100000,BRL,0.000000,FORNECIMENTO_2_VIA_CARTAO_FUNCAO_DEBITO,https://banco.bradesco/html/classic/produtos-servicos/tipos-de-conta/index.shtm,"Para Click Conta: de 0 a 17 anos para a abertura | Para a Universitária: a partir de 16 anos (não tem idade máxima) | Para a Conta Corrente e Conta Fácil, a idade mínima é de 18 anos",BRL,0.00
2021,banco-bradesco,Banco Bradesco,60746948000112,Banco Bradesco S.A.,https://banco.bradesco/html/classic/index.shtm,PARCEIROS DO BANCO,NA,NA,"[DEPENDENCIAS_PROPRIAS, MOBILE_BANKING]","[MOVIMENTACAO_CHEQUE, MOVIMENTACAO_ELETRONICA, MOVIMENTACAO_CARTAO, MOVIMENTACAO_PRESENCIAL]",2,BRL,0.000000,2_FAIXA_VALOR,0.000000,CONTRATO,FORNECIMENTO_COPIA_MICROFILME_MICROFICHA_ASSEMELHADO,BRL,8.050000,BRL,0.000000,FORNECIMENTO_COPIA_MICROFILME_MICROFICHA_ASSEMELHADO,https://banco.bradesco/html/classic/produtos-servicos/tipos-de-conta/index.shtm,"Para Click Conta: de 0 a 17 anos para a abertura | Para a Universitária: a partir de 16 anos (não tem idade máxima) | Para a Conta Corrente e Conta Fácil, a idade mínima é de 18 anos",BRL,0.00
2021,banco-bradesco,Banco Bradesco,60746948000112,Banco Bradesco S.A.,https://banco.bradesco/html/classic/index.shtm,PARCEIROS DO BANCO,NA,NA,"[DEPENDENCIAS_PROPRIAS, MOBILE_BANKING]","[MOVIMENTACAO_CHEQUE, MOVIMENTACAO_ELETRONICA, MOVIMENTACAO_CARTAO, MOVIMENTACAO_PRESENCIAL]",2,BRL,0.000000,2_FAIXA_VALOR,0.000000,CONTRATO,SAQUE_CONTA_DEPOSITO_A_VISTA_POUPANCA_PRESENCIAL_OU_PESSOAL,BRL,2.950000,BRL,2.950000,SAQUE_CONTA_DEPOSITO_A_VISTA_POUPANCA_PRESENCIAL_OU_PESSOAL,https://banco.bradesco/html/classic/produtos-servicos/tipos-de-conta/index.shtm,"Para Click Conta: de 0 a 17 anos para a abertura | Para a Universitária: a partir de 16 anos (não tem idade máxima) | Para a Conta Corrente e Conta Fácil, a idade mínima é de 18 anos",BRL,0.00
2021,banco-bradesco,Banco Bradesco,60746948000112,Banco Bradesco S.A.,https://banco.bradesco/html/classic/index.shtm,PARCEIROS DO BANCO,NA,NA,"[DEPENDENCIAS_PROPRIAS, MOBILE_BANKING]","[MOVIMENTACAO_CHEQUE, MOVIMENTACAO_ELETRONICA, MOVIMENTACAO_CARTAO, MOVIMENTACAO_PRESENCIAL]",2,BRL,0.000000,2_FAIXA_VALOR,0.000000,CONTRATO,SAQUE_CONTA_DEPOSITO_A_VISTA_POUPANCA_TERMINAL_AUTOATENDIMENTO,BRL,2.600000,BRL,2.350000,SAQUE_CONTA_DEPOSITO_A_VISTA_POUPANCA_TERMINAL_AUTOATENDIMENTO,https://banco.bradesco/html/classic/produtos-servicos/tipos-de-conta/index.shtm,"Para Click Conta: de 0 a 17 anos para a abertura | Para a Universitária: a partir de 16 anos (não tem idade máxima) | Para a Conta Corrente e Conta Fácil, a idade mínima é de 18 anos",BRL,0.00
2021,banco-bradesco,Banco Bradesco,60746948000112,Banco Bradesco S.A.,https://banco.bradesco/html/classic/index.shtm,PARCEIROS DO BANCO,NA,NA,"[DEPENDENCIAS_PROPRIAS, MOBILE_BANKING]","[MOVIMENTACAO_CHEQUE, MOVIMENTACAO_ELETRONICA, MOVIMENTACAO_CARTAO, MOVIMENTACAO_PRESENCIAL]",2,BRL,0.000000,2_FAIXA_VALOR,0.000000,CONTRATO,TRANSFERENCIA_DOC_PESSOAL_OU_PRESENCIAL,BRL,21.950001,BRL,21.950001,TRANSFERENCIA_DOC_PESSOAL_OU_PRESENCIAL,https://banco.bradesco/html/classic/produtos-servicos/tipos-de-conta/index.shtm,"Para Click Conta: de 0 a 17 anos para a abertura | Para a Universitária: a partir de 16 anos (não tem idade máxima) | Para a Conta Corrente e Conta Fácil, a idade mínima é de 18 anos",BRL,0.00
2021,banco-bradesco,Banco Bradesco,60746948000112,Banco Bradesco S.A.,https://banco.bradesco/html/classic/index.shtm,PARCEIROS DO BANCO,NA,NA,"[DEPENDENCIAS_PROPRIAS, MOBILE_BANKING]","[MOVIMENTACAO_CHEQUE, MOVIMENTACAO_ELETRONICA, MOVIMENTACAO_CARTAO, MOVIMENTACAO_PRESENCIAL]",2,BRL,0.000000,2_FAIXA_VALOR,0.000000,CONTRATO,TRANSFERENCIA_ENTRE_CONTAS_PROPRIA_INSTITUICAO_PESSOAL_OU_PRESENCIAL,BRL,1.600000,BRL,0.000000,TRANSFERENCIA_ENTRE_CONTAS_PROPRIA_INSTITUICAO_PESSOAL_OU_PRESENCIAL,https://banco.bradesco/html/classic/produtos-servicos/tipos-de-conta/index.shtm,"Para Click Conta: de 0 a 17 anos para a abertura | Para a Universitária: a partir de 16 anos (não tem idade máxima) | Para a Conta Corrente e Conta Fácil, a idade mínima é de 18 anos",BRL,0.00
2021,banco-bradesco,Banco Bradesco,60746948000112,Banco Bradesco S.A.,https://banco.bradesco/html/classic/index.shtm,PARCEIROS DO BANCO,NA,NA,"[DEPENDENCIAS_PROPRIAS, MOBILE_BANKING]","[MOVIMENTACAO_CHEQUE, MOVIMENTACAO_ELETRONICA, MOVIMENTACAO_CARTAO, MOVIMENTACAO_PRESENCIAL]",2,BRL,0.000000,3_FAIXA_VALOR,0.000000,CONTRATO,FORNECIMENTO_COPIA_MICROFILME_MICROFICHA_ASSEMELHADO,BRL,8.050000,BRL,0.000000,FORNECIMENTO_COPIA_MICROFILME_MICROFICHA_ASSEMELHADO,https://banco.bradesco/html/classic/produtos-servicos/tipos-de-conta/index.shtm,"Para Click Conta: de 0 a 17 anos para a abertura | Para a Universitária: a partir de 16 anos (não tem idade máxima) | Para a Conta Corrente e Conta Fácil, a idade mínima é de 18 anos",BRL,0.00
2021,banco-bradesco,Banco Bradesco,60746948000112,Banco Bradesco S.A.,https://banco.bradesco/html/classic/index.shtm,PARCEIROS DO BANCO,NA,NA,"[DEPENDENCIAS_PROPRIAS, MOBILE_BANKING]","[MOVIMENTACAO_CHEQUE, MOVIMENTACAO_ELETRONICA, MOVIMENTACAO_CARTAO, MOVIMENTACAO_PRESENCIAL]",2,BRL,0.000000,3_FAIXA_VALOR,0.000000,CONTRATO,SAQUE_CONTA_DEPOSITO_A_VISTA_POUPANCA_PRESENCIAL_OU_PESSOAL,BRL,2.950000,BRL,2.950000,SAQUE_CONTA_DEPOSITO_A_VISTA_POUPANCA_PRESENCIAL_OU_PESSOAL,https://banco.bradesco/html/classic/produtos-servicos/tipos-de-conta/index.shtm,"Para Click Conta: de 0 a 17 anos para a abertura | Para a Universitária: a partir de 16 anos (não tem idade máxima) | Para a Conta Corrente e Conta Fácil, a idade mínima é de 18 anos",BRL,0.00
2021,banco-bradesco,Banco Bradesco,60746948000112,Banco Bradesco S.A.,https://banco.bradesco/html/classic/index.shtm,PARCEIROS DO BANCO,NA,NA,"[DEPENDENCIAS_PROPRIAS, MOBILE_BANKING]","[MOVIMENTACAO_CHEQUE, MOVIMENTACAO_ELETRONICA, MOVIMENTACAO_CARTAO, MOVIMENTACAO_PRESENCIAL]",2,BRL,0.000000,3_FAIXA_VALOR,0.000000,CONTRATO,TRANSFERENCIA_DOC_PESSOAL_OU_PRESENCIAL,BRL,21.950001,BRL,21.950001,TRANSFERENCIA_DOC_PESSOAL_OU_PRESENCIAL,https://banco.bradesco/html/classic/produtos-servicos/tipos-de-conta/index.shtm,"Para Click Conta: de 0 a 17 anos para a abertura | Para a Universitária: a partir de 16 anos (não tem idade máxima) | Para a Conta Corrente e Conta Fácil, a idade mínima é de 18 anos",BRL,0.00
2021,banco-bradesco,Banco Bradesco,60746948000112,Banco Bradesco S.A.,https://banco.bradesco/html/classic/index.shtm,PARCEIROS DO BANCO,NA,NA,"[DEPENDENCIAS_PROPRIAS, MOBILE_BANKING]","[MOVIMENTACAO_CHEQUE, MOVIMENTACAO_ELETRONICA, MOVIMENTACAO_CARTAO, MOVIMENTACAO_PRESENCIAL]",2,BRL,0.000000,3_FAIXA_VALOR,0.000000,CONTRATO,TRANSFERENCIA_ENTRE_CONTAS_PROPRIA_INSTITUICAO_PESSOAL_OU_PRESENCIAL,BRL,1.600000,BRL,0.000000,TRANSFERENCIA_ENTRE_CONTAS_PROPRIA_INSTITUICAO_PESSOAL_OU_PRESENCIAL,https://banco.bradesco/html/classic/produtos-servicos/tipos-de-conta/index.shtm,"Para Click Conta: de 0 a 17 anos para a abertura | Para a Universitária: a partir de 16 anos (não tem idade máxima) | Para a Conta Corrente e Conta Fácil, a idade mínima é de 18 anos",BRL,0.00
