"idorder","orderDate","priority_idpriority","customer_idcustomer"
"AE-2011-9160","2011-10-03","1","PO-8865"
"AE-2013-1130","2013-10-14","2","EB-4110"
"AE-2014-2840","2014-11-05","4","PG-8820"
"AE-2014-4120","2014-03-07","1","JD-5790"
"AG-2011-1070","2011-01-10","1","TH-11235"
"AG-2011-1390","2011-08-16","1","DH-3675"
"AG-2011-1440","2011-12-15","1","DB-3210"
"AG-2011-2040","2011-01-01","1","TB-11280"
"AG-2011-3130","2011-03-11","1","AJ-780"
"AG-2011-380","2011-03-03","1","CC-2370"
"AG-2011-4410","2011-11-02","2","JH-5985"
"AG-2011-4450","2011-06-15","4","RS-9765"
"AG-2011-450","2011-11-07","1","BC-1125"
"AG-2011-4560","2011-12-20","3","EG-3900"
"AG-2011-500","2011-11-23","1","AS-285"
"AG-2011-60","2011-08-13","1","TT-11070"
"AG-2011-7230","2011-01-07","1","AC-420"
"AG-2011-7710","2011-05-24","4","BM-1785"
"AG-2011-8180","2011-02-25","4","RO-9780"
"AG-2011-8930","2011-12-26","1","MW-8220"
"AG-2011-9060","2011-12-20","1","OT-8730"
"AG-2011-9610","2011-04-22","2","AA-645"
"AG-2012-170","2012-11-30","4","PF-9165"
"AG-2012-1940","2012-07-31","1","BP-1230"
"AG-2012-2200","2012-11-29","1","TS-11505"
"AG-2012-2220","2012-11-09","1","MV-8190"
"AG-2012-2430","2012-08-31","1","CC-2430"
"AG-2012-3190","2012-05-19","1","SZ-10035"
"AG-2012-4060","2012-03-19","1","LM-7065"
"AG-2012-4630","2012-05-28","1","CP-2340"
"AG-2012-4750","2012-12-10","1","LM-7065"
"AG-2012-4910","2012-11-16","1","KF-6285"
"AG-2012-5400","2012-01-05","2","RB-9570"
"AG-2012-6020","2012-08-20","2","DC-3285"
"AG-2012-6390","2012-11-26","1","GH-4410"
"AG-2012-7530","2012-08-08","1","AA-480"
"AG-2012-8490","2012-09-18","1","LC-7050"
"AG-2012-8660","2012-08-09","1","MP-7470"
"AG-2013-2840","2013-05-21","2","CS-1860"
"AG-2013-2970","2013-04-26","1","CM-2160"
"AG-2013-3970","2013-08-24","1","RD-9585"
"AG-2013-4150","2013-07-18","2","DB-3270"
"AG-2013-5820","2013-11-05","1","ES-4080"
"AG-2013-6090","2013-03-14","2","RD-9585"
"AG-2013-640","2013-08-23","2","BO-1425"
"AG-2013-6630","2013-12-10","2","LW-7125"
"AG-2013-6810","2013-07-10","2","NF-8595"
"AG-2013-8490","2013-08-30","2","SK-9990"
"AG-2013-8990","2013-09-12","4","RB-9645"
"AG-2013-9570","2013-02-04","1","AR-345"
"AG-2013-9890","2013-09-30","2","BT-1485"
"AG-2014-2040","2014-01-01","2","CR-2730"
"AG-2014-2110","2014-12-30","1","TB-11250"
"AG-2014-2230","2014-10-27","1","DK-3225"
"AG-2014-2280","2014-12-25","1","MS-7980"
"AG-2014-2360","2014-01-01","2","JE-5475"
"AG-2014-2600","2014-11-18","1","DR-2940"
"AG-2014-2760","2014-06-09","2","CL-2565"
"AG-2014-3510","2014-11-06","2","CR-2820"
"AG-2014-3710","2014-01-24","1","IL-5100"
"AG-2014-4880","2014-06-12","1","RS-9420"
"AG-2014-6310","2014-01-24","3","JG-5160"
"AG-2014-6470","2014-01-13","4","PO-8865"
"AG-2014-6650","2014-03-02","1","AC-420"
"AG-2014-7430","2014-08-05","1","HR-4830"
"AG-2014-7490","2014-07-23","1","RD-9930"
"AG-2014-7770","2014-03-07","1","JO-5550"
"AG-2014-8040","2014-03-31","2","BD-1605"
"AG-2014-8240","2014-03-12","2","AR-570"
"AG-2014-8390","2014-05-27","4","CR-2820"
"AG-2014-8600","2014-01-22","1","SB-10170"
"AG-2014-8620","2014-02-11","3","DS-3180"
"AG-2014-8710","2014-01-29","1","CA-2310"
"AJ-2011-4230","2011-12-30","1","JH-5820"
"AJ-2011-4420","2011-06-08","4","TC-10980"
"AJ-2011-4460","2011-02-23","1","CM-1935"
"AJ-2012-7450","2012-09-25","1","GM-4680"
"AJ-2012-7720","2012-11-02","2","SG-10890"
"AJ-2013-180","2013-08-07","2","NC-8340"
"AJ-2013-2640","2013-01-23","2","JL-5835"
"AJ-2013-3610","2013-01-10","2","GZ-4545"
"AJ-2013-8630","2013-01-07","1","DC-3285"
"AJ-2014-1760","2014-09-11","1","MS-7365"
"AJ-2014-5740","2014-10-23","2","LW-6825"
"AJ-2014-6170","2014-09-16","2","SH-9975"
"AJ-2014-6800","2014-12-27","1","DR-2880"
"AJ-2014-8550","2014-02-24","1","GM-4440"
"AJ-2014-9020","2014-09-13","1","RD-9720"
"AJ-2014-9550","2014-08-30","1","GG-4650"
"AJ-2014-9620","2014-12-30","2","DJ-3420"
"AL-2011-4500","2011-11-01","1","EM-3825"
"AL-2012-8670","2012-04-24","1","ML-7395"
"AL-2012-9220","2012-04-19","1","JD-5895"
"AL-2012-9980","2012-07-28","1","JD-6015"
"AM-2011-7110","2011-12-14","2","HM-4980"
"AO-2011-1390","2011-02-01","4","DK-3150"
"AO-2011-1670","2011-01-08","2","HZ-4950"
"AO-2011-1710","2011-02-03","3","SW-10455"
"AO-2011-7110","2011-06-21","1","AA-480"
"AO-2011-8000","2011-12-15","2","JK-5370"
"AO-2011-8260","2011-07-16","2","RO-9780"
"AO-2011-8430","2011-01-20","2","MA-7995"
"AO-2011-9910","2011-12-05","1","RP-9855"
"AO-2012-1000","2012-12-03","1","DK-3225"
"AO-2012-1220","2012-01-23","1","DL-3495"
"AO-2012-1230","2012-11-15","1","DH-3075"
"AO-2012-2480","2012-06-13","1","MG-8205"
"AO-2012-2650","2012-12-20","1","SF-10200"
"AO-2012-2750","2012-08-09","1","CA-2310"
"AO-2012-2810","2012-09-29","1","HJ-4875"
"AO-2012-3210","2012-09-27","1","JE-5745"
"AO-2012-6670","2012-09-20","2","MO-7500"
"AO-2012-7800","2012-07-21","1","JC-5340"
"AO-2012-8920","2012-12-04","1","CC-2475"
"AO-2013-1470","2013-12-10","1","RE-9405"
"AO-2013-1640","2013-10-25","2","IG-5085"
"AO-2013-2100","2013-06-05","2","AS-285"
"AO-2013-2180","2013-11-14","2","LC-6960"
"AO-2013-2230","2013-05-28","2","JK-6090"
"AO-2013-2380","2013-03-28","2","CM-2655"
"AO-2013-3830","2013-10-30","1","SC-10305"
"AO-2013-4310","2013-10-30","1","CW-1905"
